City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Muli,MV,2021-11-28 22:06:38,2.9167,73.5667,82.51,73,97,15.86
68,Khatanga,RU,2021-11-28 22:04:04,71.9667,102.5,-8.05,98,100,9.31
69,Kloulklubed,PW,2021-11-28 22:06:39,7.0419,134.2556,84.0,70,60,11.45
70,Atuona,PF,2021-11-28 22:00:01,-9.8,-139.0333,78.53,71,1,17.65
71,Buraydah,SA,2021-11-28 22:05:23,26.326,43.975,59.27,40,0,4.07
72,Jiayuguan,CN,2021-11-28 22:06:39,39.8167,98.3,15.96,56,0,3.4
73,Derzhavinsk,KZ,2021-11-28 22:06:40,51.1,66.3167,8.49,78,100,5.84
74,Yellowknife,CA,2021-11-28 21:58:04,62.456,-114.3525,18.12,93,90,17.27
75,Karratha,AU,2021-11-28 21:54:55,-20.7377,116.8463,81.59,60,28,2.95
76,Castro,BR,2021-11-28 22:06:40,-24.7911,-50.0119,70.16,65,89,4.32
77,Riyadh,SA,2021-11-28 22:06:41,24.6877,46.7219,60.94,35,0,7.16
78,Nalgonda,IN,2021-11-28 22:06:41,17.05,79.2667,69.67,96,100,4.47
79,Adre,TD,2021-11-28 21:58:55,13.4667,22.2,72.52,18,0,11.41
80,Opuwo,NA,2021-11-28 22:03:58,-18.0607,13.84,69.06,27,72,4.68
81,Belmonte,BR,2021-11-28 22:06:42,-15.8631,-38.8828,79.3,86,44,12.68
82,Longyearbyen,SJ,2021-11-28 22:06:43,78.2186,15.6401,10.24,67,75,13.8
83,Kodiak,US,2021-11-28 22:05:24,57.79,-152.4072,13.51,44,1,0.0
84,Matara,LK,2021-11-28 22:02:55,5.9485,80.5353,75.11,90,100,3.65
85,Yura,PE,2021-11-28 22:06:43,-16.2522,-71.6797,59.2,54,95,8.1
86,Maceio,BR,2021-11-28 22:06:44,-9.6658,-35.7353,81.84,78,40,6.91
87,Mayo,US,2021-11-28 22:05:23,38.8876,-76.5119,48.61,71,1,0.0
88,Barentu,ER,2021-11-28 22:06:44,15.1139,37.5928,74.16,49,0,8.12
89,Mar Del Plata,AR,2021-11-28 22:00:29,-38.0023,-57.5575,62.53,92,100,13.2
90,Saldanha,ZA,2021-11-28 22:06:51,-33.0117,17.9442,62.78,85,42,5.99
91,Norman Wells,CA,2021-11-28 21:59:25,65.282,-126.8329,-21.96,69,75,0.0
92,Fort Nelson,CA,2021-11-28 22:06:52,58.8053,-122.7002,3.15,89,96,2.24
93,Rauma,FI,2021-11-28 22:06:52,61.1272,21.5113,15.84,76,100,9.19
94,Wajid,SO,2021-11-28 22:06:52,3.8093,43.2471,77.04,68,21,10.65
95,Yerbogachen,RU,2021-11-28 22:06:53,61.2767,108.0108,-1.97,100,100,2.89
96,Acapulco,MX,2021-11-28 21:59:59,16.8634,-99.8901,83.23,69,63,6.89
97,Henties Bay,NA,2021-11-28 22:01:31,-22.116,14.2845,59.77,92,0,8.01
98,Port Elizabeth,ZA,2021-11-28 22:01:51,-33.918,25.5701,65.32,80,27,15.55
99,Killybegs,IE,2021-11-28 22:06:54,54.6333,-8.45,44.06,70,83,2.19
100,Klaksvik,FO,2021-11-28 22:06:54,62.2266,-6.589,34.72,63,100,7.96
