City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hermanus,ZA,-34.4187,19.2345,60.91,94,100,9.35,light rain
80,Sao Filipe,CV,14.8961,-24.4956,75.29,74,14,10.56,few clouds
81,Fare,PF,-16.7,-151.0167,81.25,72,74,14.74,broken clouds
82,Ponta Do Sol,PT,32.6667,-17.1,65.03,66,6,9.53,clear sky
83,Severo-Yeniseyskiy,RU,60.3725,93.0408,8.96,96,100,2.64,light snow
84,Lompoc,US,34.6391,-120.4579,67.78,82,1,10.36,clear sky
85,Cape Town,ZA,-33.9258,18.4232,61.21,88,75,1.01,light intensity drizzle
86,New Norfolk,AU,-42.7826,147.0587,68.92,51,89,8.34,overcast clouds
87,Khandbari,NP,27.3747,87.2039,56.86,67,3,4.14,clear sky
88,Pevek,RU,69.7008,170.3133,-9.4,96,100,16.8,light snow
89,Hobart,AU,-42.8794,147.3294,69.26,58,40,5.01,scattered clouds
90,Tiksi,RU,71.6872,128.8694,-16.67,94,100,7.16,overcast clouds
91,Esperance,AU,-33.8667,121.9,67.84,67,98,12.91,overcast clouds
92,Freeport,US,40.6576,-73.5832,47.32,58,100,5.99,overcast clouds
93,Saldanha,ZA,-33.0117,17.9442,60.85,90,100,16.46,overcast clouds
94,Dubti,ET,11.7361,41.0853,71.44,63,0,7.92,clear sky
95,Port Hardy,CA,50.6996,-127.4199,37.4,86,90,5.75,overcast clouds
96,Ushuaia,AR,-54.8,-68.3,46.06,61,75,27.63,broken clouds
97,Butaritari,KI,3.0707,172.7902,80.98,81,94,12.75,moderate rain
98,Saint George,US,37.1041,-113.5841,61.27,31,1,1.01,clear sky
99,Nador,MA,35.174,-2.9287,59.25,63,40,18.41,scattered clouds
100,Mataura,NZ,-46.1927,168.8643,57.47,44,87,7.25,overcast clouds
101,Cherskiy,RU,68.75,161.3,-35.03,96,100,2.68,overcast clouds
102,Ndago,TZ,-4.6,34.35,66.0,68,100,6.53,overcast clouds
103,Bandarbeyla,SO,9.4942,50.8122,75.16,68,4,12.86,clear sky
104,Yinchuan,CN,38.4681,106.2731,28.81,37,57,5.91,broken clouds
105,Carnarvon,AU,-24.8667,113.6333,77.07,69,0,19.57,clear sky
106,Lebu,CL,-37.6167,-73.65,56.82,85,0,12.97,clear sky
107,Tongliao,CN,43.6125,122.2653,26.46,74,8,12.35,clear sky
108,Port Elizabeth,ZA,-33.918,25.5701,64.09,100,40,12.66,light rain
109,Atambua,ID,-9.1061,124.8925,81.16,75,99,4.59,overcast clouds
110,Albany,US,42.6001,-73.9662,39.67,57,100,6.13,overcast clouds
111,Codrington,AU,-38.2667,141.9667,77.23,32,100,11.3,overcast clouds
112,Khatanga,RU,71.9667,102.5,-17.64,99,100,6.53,overcast clouds
113,Mar Del Plata,AR,-38.0023,-57.5575,63.88,81,0,15.99,clear sky
114,Punta Arenas,CL,-53.15,-70.9167,51.91,46,75,16.11,broken clouds
115,Margate,GB,51.3813,1.3862,41.97,92,98,11.01,overcast clouds
116,Yaan,NG,7.3833,8.5667,77.54,34,100,0.78,overcast clouds
117,Marawi,PH,7.9986,124.2928,69.66,83,81,4.43,broken clouds
118,Kahului,US,20.8947,-156.47,73.85,91,90,8.05,heavy intensity rain
119,Esqueda,MX,30.7167,-109.5833,56.46,29,0,1.21,clear sky
120,Mount Gambier,AU,-37.8333,140.7667,75.11,31,27,10.36,scattered clouds
121,Jamestown,US,42.097,-79.2353,46.71,52,90,13.0,overcast clouds
122,Hilo,US,19.7297,-155.09,73.11,99,100,15.01,moderate rain
123,Busselton,AU,-33.65,115.3333,63.09,58,90,16.53,overcast clouds
124,Bluff,NZ,-46.6,168.3333,57.79,54,13,19.22,few clouds
125,Manavalakurichi,IN,8.1333,77.3,78.89,86,100,6.42,overcast clouds
126,Aklavik,CA,68.2191,-135.0107,-4.97,89,18,9.19,few clouds
127,Gisborne,NZ,-38.6533,178.0042,75.94,64,76,7.34,broken clouds
128,Puerto Ayora,EC,-0.7393,-90.3518,68.22,88,12,9.1,few clouds
129,Dikson,RU,73.5069,80.5464,-6.56,96,100,9.71,overcast clouds
130,Vaini,TO,-21.2,-175.2,84.36,84,20,12.66,few clouds
131,Port Alfred,ZA,-33.5906,26.891,67.95,94,77,12.73,broken clouds
132,Zhengjiatun,CN,43.5064,123.5064,26.76,76,16,10.74,few clouds
133,Rikitea,PF,-23.1203,-134.9692,76.78,72,100,6.42,overcast clouds
134,Alofi,NU,-19.0595,-169.9187,82.29,69,100,18.41,light rain
135,Qaanaaq,GL,77.484,-69.3632,20.5,85,100,5.82,overcast clouds
136,Sur,OM,22.5667,59.5289,71.53,72,0,2.13,clear sky
137,Luderitz,NA,-26.6481,15.1594,60.28,85,0,9.37,clear sky
138,Kodiak,US,57.79,-152.4072,33.82,87,100,16.02,overcast clouds
139,Bengkulu,ID,-3.8004,102.2655,78.15,84,100,7.16,overcast clouds
140,San Patricio,US,28.017,-97.5169,76.98,87,100,13.6,overcast clouds
141,Chuy,UY,-33.6971,-53.4616,63.88,88,100,6.31,overcast clouds
142,Arlit,NE,18.7369,7.3853,67.44,18,96,5.17,overcast clouds
143,Vardo,NO,70.3705,31.1107,22.6,80,61,20.51,broken clouds
144,Keetmanshoop,NA,-26.5833,18.1333,57.81,61,0,7.85,clear sky
145,Flinders,AU,-34.5833,150.8552,73.18,67,100,6.53,overcast clouds
146,Longyearbyen,SJ,78.2186,15.6401,12.4,93,100,3.49,light snow
147,Kapaa,US,22.0752,-159.319,77.47,70,100,4.0,light rain
148,Vao,NC,-22.6667,167.4833,75.97,81,100,13.02,moderate rain
149,Sisimiut,GL,66.9395,-53.6735,27.0,69,100,35.43,overcast clouds
150,Thompson,CA,55.7435,-97.8558,-20.04,76,1,8.05,clear sky
151,Whitecourt,CA,54.1502,-115.6855,4.24,47,20,4.61,few clouds
